"N° DM","LIGNE","N°BL","Article","Quantité","CHANTIER","Date livraison","INTITULER","EE","RECEPTION"
"26-0008637","26-0008637/45/1","00124697","78804047","2","BETZ","16/03/2026","COSSE D'EXTREMITE     6603R306","TSO",""
"26-0008637","26-0008637/46/1","00124697","78804068","2","BETZ","16/03/2026","RACCORD DERIVATION    6603R607","TSO",""
"26-0008637","26-0008637/5/1","00124697","01604729","20","BETZ","16/03/2026","BOULON H_M14-180/100_2 E.H G","TSO",""
"26-0008637","26-0008637/6/1","00124697","01630686","100","BETZ","16/03/2026","VIS H_ M10X45 - A4-80","TSO",""
"26-0008637","26-0008637/7/1","00124697","01630890","100","BETZ","16/03/2026","VIS H_ M12X40 - A4-80","TSO",""
"26-0008637","26-0008637/8/1","00124697","01630899","100","BETZ","16/03/2026","VIS H_ M12X45 - A4-80","TSO",""
"26-0008637","26-0008637/9/1","00124697","01679101","1","BETZ","16/03/2026","ECROU HFR_ M14 INOX +REVET +CL","TSO",""
"26-0008653","26-0008653/1/1","00124698","01602035","20","GARENNE","16/03/2026","BOULON H_M20-70_2 ECRS H GALV.","TSO",""
"26-0008653","26-0008653/10/1","00124698","01680156","200","GARENNE","16/03/2026","RONDELLE PLATE M14","TSO",""
"26-0008653","26-0008653/11/1","00124698","01758367","10","GARENNE","16/03/2026","AXE D'ARTICULATION TETE 24-70","TSO",""
"26-0008653","26-0008653/12/1","00124698","01932935","100","GARENNE","16/03/2026","COLLIER HOP INOX9 20-35","TSO",""
"26-0008653","26-0008653/18/1","00124698","08800052","2","GARENNE","16/03/2026","CORNIERE 60X60X6  L400MM 18R03","TSO",""
"26-0008653","26-0008653/19/1","00124698","08800200","30","GARENNE","16/03/2026","TIGE FILETEE 14-250/250  70R01","TSO",""
"26-0008653","26-0008653/2/1","00124698","01602769","10","GARENNE","16/03/2026","BOULON H_M24-80_ECROU H GALV.","TSO",""
"26-0008653","26-0008653/20/1","00124698","08800208","4","GARENNE","16/03/2026","TIGE FILETEE 14-450/100  70R05","TSO",""
"26-0008653","26-0008653/21/1","00124698","08800606","11","GARENNE","16/03/2026","ISOLATEUR CERAMI. SUPPORT  400","TSO",""
"26-0008653","26-0008653/22/1","00124698","08801905","4","GARENNE","16/03/2026","PINCE D'ANCRAGE           1754","TSO",""
"26-0008653","26-0008653/23/1","00124698","08804392","52","GARENNE","16/03/2026","ETRIER DE 10-45-50      17R238","TSO",""
"26-0008653","26-0008653/24/1","00124698","08805123","2","GARENNE","16/03/2026","CAVALIER PR FIL CU.104    5438","TSO",""
"26-0008653","26-0008653/25/1","00124698","08805178","2","GARENNE","16/03/2026","CAVALIER CABLE 13_5 A 15  5439","TSO",""
